expected output,output
['brain magnetic resonance imaging ( mri ) after gadolinium injection showed an image in the axial ( flair sequence ) showing hyper - intensity lesions in the white matter of the frontal lobes. there is no signal abnormality of the cortex. note that there is no mass effect on the ventricular cavities or midline structures.'],['brain magnetic resonance imaging ( mri ) after gadolinium injection showed a non enhancing hypo - intensity image in ( t2 - sequence ) beyond the white matter.']
"['twelve - year - old boy presented with nasopharyngeal angiofi broma diagnosed with unilateral meningo - ophthalmic artery anomaly. computed tomography scan shows midline nasopharyngeal angiofi broma ( black arrow ), with prominent right - side infiltration into the infratemporal fossa ( white arrow ).']",['axial noncontrast computed tomography of the temporal bone showing destruction of the right sphenoid sinus ( arrow ) and displacement of right temporal bone']
['an hc with a diameter of 0. 37 cm in the left hippocampus is noted in the t1 - weighted image at the level of the hippocampus'],['the t1 - weighted mri image of the brain shows hypointense thickening of the bilateral vestibular sclerosis']
"['pmmr of hypoxic brain changes. axial t2 - weighted pmmr image through a fetal post mortem brain, showing an example of typical low signal change in the basal ganglia which may be associated with hypoxia. conventional pmmr cannot currently distinguish antemortem from postmortem hypoxic change']",['fluid - attenuated inversion recovery magnetic resonance image of patient 2 showing marked atrophy of bilateral occipital lobes.']
"['ct scan of the brain showing a solitary metastasis, 5x4 cm, in the right occipital lobe, with some extension to the parietal lobe. note the heterogeneic appearance of the metastasis and the surrounding brain edema']",['postcontrast ct scan of brain showing regression of lesion in left parietal lobe.']
['axial t2 - weighted mr image showing an “ angel wing appearance ” in the brainstem ( black arrows ).'],"['t2w axial mr images show multiple hypointense lesions in the left cerebellopontine angle, with the exception of the white matter.']"
['magnetic resonance imaging brain axial section t1 - weighted image showing large sella - suprasellar mass'],"['a cranial magnetic resonance imaging, axial section, t1 - weighted image showing molar tooth appearance of the left temporal lobe. the appearance of the thickening is characteristic of osteomyelitis. t1, indicative for hsv encephalitis or cerebellum']"
"['ctp post - processed image. the patient was a 48 - year - old man, with no history of hypertension, diabetes, or heart disease. the onset time was 4 hours, with a lesion detected in the right temporal lobe. the baseline nihss score was 15. after thrombolytic therapy, the 24 - hour nihss score was 9. red areas represent the infarct core. green areas represent the penumbra. r : right ; l : left ; ctp : computed tomography perfusion ; nihss : national institution of health stroke scale.']",['postoperative ct scan of the brain. the left occipital infarct is indicated by green.']
['mri of the brain showed a large mass in the left frontal area t2 / flair. mild surrounding vasogenic edema and mass effect.'],['brain mri was performed with evidence of cerebral parenchymal lesion with left temporal edema.']
['initial mri of the brain with and without contrast. a large right frontal lobe intra - axial mass with mass effect upon the right ventricular system and a leftward midline shift of approximately 1. 3 cm is shown.'],"['a t2 - weighted magnetic resonance imaging image of the brain showing a large temporal mass lesion, with perilesional edema. the area was suggestive of demyelination.']"
['axial section through the brainstem at the nerve root entry zone of the left trigeminal nerve with an illustration of the location of the 50 % isodose line for gamma knife radiation treatment planning. this was the treatment location for the first and second gamma knife procedures.'],"['representative ct scan illustrating the location of the hippocampal head. red : green, blue : the left ; red indicates the left hippocampus.']"
"['brain magnetic resonance imaging, t1 - weighted image showing ring - like enhancement of the active plaque']",['a 6 - month - old boy with gm2 - gangliosidosis with bilateral thalamic involvement of the white matter']
['brain axial t2w magnetic resonance imaging at the level of the midbrain. high signal around the aqueduct of sylvius ( arrow ).'],"['48 - year old woman with idiopathic hypoparathyroidism. axial b - ffe image shows hypometa in the right temporal horns of the lateral ventricle ( arrow ), prominent periventricular white matter ( see arrow ).']"
['mri brain t2 axial flair sequence showed hyperintensities in the left thalamus and right mesial occipital lobe.'],['axial t2 - weighted mr image showing hyperintensity in the splenium of corpus callosum and as well as focal high signal intensity in the left occipital lobe.']
['mri axial t2 - weighted image identifying increased signal intensity at the left temporal lobe ( arrow ). image contrast brightened.'],['brain mri showed hypersignal signal intensity at the left temporal lobe ( arrow ).']
['magnetic resonance imaging brain ( three - dimensional constructive interference in steady - state sequences ) showing the anterior inferior cerebellar artery ( black arrow ) abutting the root entry zone of the facial nerve ( white arrow ) on the right side with no evidence of any mass lesions'],['t1 weighted post contrast axial image of the brain demonstrating recurrence of extra - axial collection on the left cerebellar hemisphere suggestive of embolic silent brain infarction ( white arrow )']
['mri of the brain : t1 coronal post - contrast sequence demonstrating faint bilateral optic nerve enhancement.'],['post - gadolinium coronal t1 - weighted mr image showing bilateral symmetrically enhancing parietal mass effect on the brainstem.']
['brain mri of flair in 25 year old female with eclampsia demonstrating involvement of frontal and occipital lobes along with bilateral basal ganglion'],"['brain magnetic resonance images of fluid attenuation inversion recovery sequence obtained in a 42 - year - old female with systemic lupus erythematosus on immunosuppression, pulsed with steroids, demonstrates marked vasogenic edema involving the subcortical, deep, and periventricular white matter of both cerebral hemispheres, maintaining a predominant posterior pattern, along with subcortical involvement and periventricular white matter']"
['pre - operative magnetic resonance imaging of brain showing hypothalamic hamartoma'],['the t1 weighted sagittal image of brain shows absence of optic chiasm.']
"['one week after a febrile illness, a 55 year old man developed neurogenic dysphagia accompanied by ataxia and drowsiness. clinical examination revealed ophthalmoplegia, cerebellar signs and sluggish deep tendon reflexes. mri of the brain showed a single hyperintense lesion in the pons, on t2 w images which moderately enhanced with contrast. he rapidly recovered following intravenous steroids']",['sagittal t2 - weighted magnetic resonance image showing marked atrophy of the cerebellum and the occipital lobe']
"['across - group apfc activity ( local maxima, 30 62 −4 ) for motivationally incongruent versus congruent trials within brodmann area 10. the image is thresholded at p < 0. 05 ( uncorrected ) for visualization purposes. no other clusters reached significance for the comparison between incongruent and congruent responses in the whole group ( that is, none reached whole - brain fwe correction ). apfc activity did not differ between substance groups.']",['bold activation map ( p < 0. 05 ) for patient k. z. with left hippocampus and medial temporal gyrus. the left hippocampus represents the left hippocampus size. the activation is indicated by the arrow and the different activation shown in blue.']
['brain edema. coronal sonogram in a 7 - day - old infant with group b streptococcus meningitis shows generalized edema with compression of lateral ventricles and sulci and diffuse increased heterogeneity of the cerebral hemispheres'],['transthoracic ultrasound. note : the visceral pleura appears hyperechoic with a granulomegaly. the parietal peritoneum is clearly visible.']
['mri brain ( t2w image ) scan shows residual tumor.'],['t2 - weighted coronal mri of brain showing hyperintensity of right optic nerve and extra temporal lobe.']
['axial brain ct showing anterior falx calification'],['axial ct image of the brain showing underlying supratentorial brain tissue swelling.']
['68 - year - old man with a dural arteriovenous fistula of the superior sagittal sinus. anterior - posterior image of distal right external carotid artery injection demonstrating supply to the superior sagittal sinus fistula from a large superficial temporal artery branch as well as right middle meningeal artery branches. note filling of the superior sagittal sinus as well as several cortical veins ( arrows ) indicating the presence of cortical venous reflux.'],['68 - year - old man with a dural arteriovenous fistula of the superior sagittal sinus. lateral view of left external carotid artery injection shows the left superficial temporal artery cavernous sinus fistula from the superficial temporal artery to the superficial temporal artery ( arrows ).']
['t1wi shows hyperintense mass in the region of foramen of monro extending superiorly into the frontal lobe'],['preoperative sagittal t1wi showing mass in right lateral ventricle']
['skull radiograph of patient 1 taken on 13 days of age. white arrow indicates the calcification at right parietal region.'],['skull ap view showed diffuse osteolytic changes of the temporal bones bilaterally ( arrow ).']
['diffusion weighted scan of the magnetic resonance imaging brain showing no restriction of diffusion suggestive of lesions being vasogenic edema rather than infarcts'],['diffusion weighted image showing hyperintensity in the cortical region and bilateral occipital lobe.']
['ct scan of the brain 48 - hours after the head injury.'],['postoperative ct scans show acute cerebral infarction with midline shift and comminuted skull fracture.']
['axial t1w mri without contrast shows hyperintensities in the parietal sulci indicating leptomeningeal involvement.'],"['axial t1 - weighted magnetic resonance image showing widespread, hyperintensity in basal ganglias ( arrows ). there is also focal high signal intensity in the basal nuclei.']"
"['mri scan showing a multifocal intracranial mass, with lesions in the anterior part of the corpus callosum, extending inferiorly on the septum pellucidum and columns of the fornices, adjacent foci of subependymal enhancing tumour in the heads of the caudate nuclei and anterior part of the left thalamus, tumour in the pineal region, inferior third ventricle and roof of the fourth ventricle.']",['non contrast sagittal t1 image showing absence of tumor']
['computerized tomography brain axial view showing cyst in the pineal region'],['computed tomography of the brain showing encephalomalacia']
['mri scan of the brain showing extensive encephalomalacia in the left cerebral hemisphere'],['gadolinium - enhanced magnetic resonance image showing mass in the left posterior temporal lobe']
['ct brain ( axial view ) showing a hypodense lesion in the right frontal lobe'],['ct brain showing encephalomalacia']
['ct brain — showing cortical venous thrombosis'],"['ct brain showing ill - defined hypodensity involving both frontal parietal lobes, temporal lobe and left temporal lobe. there is no evidence of cerebral edema or midline shift']"
"['mri scan with moderate degree of enhancement at the base of the skull, affecting the right occipital condyle and part of the right side of the basilar bone.']",['mri of the brain showing small high signal lesions within the left cerebellar hemisphere suggestive of embolic ( arrow ).']
"['anatomical landmarks used for drawing rois and division of the hypothalamus into subregions. ac, anterior commissure ; lah, lower anterior hypothalamus ; lph, lower posterior hypothalamus ; mb, mammillary body ; oc, optic chiasm ; th, thalamus ; uah, upper anterior hypothalamus ; uph, upper posterior hypothalamus.']",['location of the rois placed over the frontal lobe of the rabbit brain. the regions of interest were measured on mid - sagittal t1 - weighted magnetic resonance image for this study.']
['axial contrast - enhanced t1 - weighted image showed a ring enhancement lesion in right temporooccipital lobe'],"['brain mri showed bilateral temporal lobe hyperintensity, with involvement of the left temporal lobe']"
"['magnetic resonance imaging ( flair image ) showing left frontal focal area of acute ischemic infarction ( arrow ), and right parietal periventricular white matter old infarction ( arrow )']",['magnetic resonance imaging ( flair image ) showing multiple periventricular white matter lesions ( arrows ).']
['a capillary non - perfusion in the circulation of the supratemporal vein was also noticed. note : the retinal artery shows areas absent of branches still present ( 352. 6 sec ).'],['fluorescein angiogram of the left eye showing superotemporal areas of ischemia due to occlusive vasculitis.']
['noncontrast axial cranial ct revealing left temporoparietal acute extradural hematoma'],['computerized tomography scan plain brain preoperatively showing a large temporal lesion with underlying bone erosion and midline shift']
['neurofibromatosis type 2. a 34 - year - old man with mild hearing loss in the left ear. axial computed tomography ( parenchymal window ) of the temporal bone shows extensive choroid plexus calcifications within both atria ( arrows ) extending into the left temporal horn ( arrowhead )'],['neurofibromatosis type 2. a 34 - year - old man with mild hearing loss in the left ear. axial computed tomography ( parenchymal window ) of the temporal bone reveals a small subarachnoid hemorrhage ( arrow ) adjacent to the left mastoid air cells. note the extensive calcifications within the left ear and also noted.']
"['brain mri [ siemens magnetom symphony 1. 5t, t2wi ( tr / te = 1, 300 / 69 ms ) ] showing mild diffuse atrophy and punctate increased signals of the frontal white matter.']",['t2w axial mri showing hyperintensity in the right occipital region and bilateral temporal atrophy']
"['axial computerised tomography scans of the orbits showing absence of the greater wing of sphenoid ( white asterix ), with herniation of brain parenchyma into the left orbit ( long white arrow ), esotropia and kinking of the left optic nerve ( short white arrow )']",['axial noncontrast computed tomography of the brain demonstrates bilateral thickening of the medial rectus muscles bilaterally ( white arrows ) extending posteriorly and temporally ( white arrowheads )']
['axial brain ct showing bilateral symmetrical basal ganglial calcification'],['brain ct scan showing bilateral basal ganglia calcification and cerebral shrinkage in a 1year old child with hive.']
"['head mri showing multiple occupations in the right temporal, apical, and occipital lobes and in the corpus callosum']","['central subcortical t2 mri image showed widespread, hyperintensity in the cortical - subcortical and deep white matter.']"
['ct scan of temporal bone. the thick arrow shows the bony discontinuity in the left temporal bone.'],['cranial ct scan showing a focal soft tissue mass lesion in the left temporal bone']
['the axial view of the ct scan of the brain revealed a hypodensity mass ( white arrow ) in the left frontal lobe.'],['non - contrast computed tomography of the brain showing classic non - enhancing lesion in the left frontal lobe ( white arrow ).']
['mri axial t2 flair section showing symmetrical hyperintense lesions involving subcortical and cortical locations of the bilateral frontal and parietal lobes'],"['magnetic resonance imaging showing bilateral occipital lobe hyperintensity, suggestive of ischemia in patient 2']"
"['arachnoidal cysts. mri scan of the brain. coronar, t2 - weighted. cerebellar dysplasia is seen on the right side. the arrow indicates a large arachnoidal cyst.']",['brain magnetic resonance imaging ( mri ) revealing a mass in the left temporal horn.']
"['brain magnetic resonance. the figure shows subcortical hyperintense lesions on t2 - weighted sequences, with different characteristics. one draws the subcortical white matter with preservation of u fibers, at the left parietal - occipital, and the other has rounded morphology and was located in right temporal white matter. none of them suggests hemorrhagic transformation']",['mri brain ( t2 flair ) showing small hyperintense lesions in the left frontal lobe.']
['brain mri. no distant metastases'],['mri brain sagittal t2 flair image demonstrating atrophy of the frontal lobe.']
['ct scan of the brain showing decompressed lateral ventricleswith some blood in the occipital horns ( arrows ) and extra - axial fluid collection. tip of the evd is seen in the lateral ventricle'],['noncontrast ct brain of patient 2 showing dilated ventricles and subarachnoid hemorrhage in basal ganglia and bilateral basal cisterns ( arrows )']
['magnetic resonance imaging scan of the brain showing a well - defined round to oval space occupying lesion with marked peri - lesional white matter edema in the right fronto - parietal lobe'],['mri screening of brain showing right temporal bleed']
"['ct scan of the brain ( axial sequence ) shows an area of hyperdensity in the right frontal lobe suggestive of intracerebral hemorrhage ( arrow ) in a 67 year old woman who underwent right carotid endarterectomy ( cea ) for the treatment of a 95 % right ica stenosis. the patient post - operatively developed headache, photophobia and intermittent dizziness. this ct brain was done almost 24 h after the cea. systolic blood pressure was in the 170 s mm hg and difficult to control as after cea there was thought to be a clamp injury to the right carotid artery bulb. however, the patient did well clinically and at her 3 month follow up office visit, she had no residual neurological deficits']",['computed tomography scan of the brain ( with arrow ) indicating discreet hypodensity consistent with acute cerebral infarction.']
"['magnetic resonance angiogram of the brain demonstrating normal patency of bilateral internal carotid arteries, anterior cerebral arteries, middle cerebral arteries, posterior cerebral arteries, and vertebrobasilar arteries.']",['brain mra of patient aion - 5 showing superotemporal branches of middle cerebral artery and narrowing of transverse sinus with partial obliteration of superior sagittal sinus.']
"['coronal non - contrast image from brain ct assessment of frequent falls. bilateral bands of hyperdensity that do not conform to insertions of extra - ocular muscles, are consistent with prior bilateral scleral bands for treatment of retinal detachment. however, characteristic concavity at site of banding is not seen in this case.']",['axial non - contrast ct from brain and orbit demonstrates expansion of the right lateral orbital wall by nonvisualization of the right lateral rectus muscle.']
['bilateral asymmetric perisylvian atrophy of primary non fluent aphasia variant frontotemporal dementia.'],"['non - enchanced brain mri t1, showing bilateral symmetrical medial temporal atrophy with effacement of the thalamus.']"
"['ct - scan of the temporal bone. good aeration. exposed malleus - incus - conglomerate. ap : atresia plate. ( thanks to prof. dr. med. e. hofmann, director of the department for diagnostic and interventional neuroradiology, klinikum fulda gag )']",['temporal bone ct image of case 2. an axial non - contrast image obtained at 2 weeks of age shows misplacement of the cochlear anomaly in which a 57 - year - old man presenting with headache and fever.']
['axial t2wi shows fluid - fluid level within the mass and marked compression over the left cerebral peduncle of midbrain'],['mri brain t2 - weighted image showing a large mass in the left temporo - occipital region with associated vasogenic edema.']
['case 1. axial flair mri : cortical - subcortical hyperintense lesions in parietal - occipital regions and in the posterior lateral left putamen.'],['brain mri ( t2 flair ) showing hyperintensity in the right frontotemporal region.']
['anatomical landmarks of orbitofrontal lobe ( ofl ) in lateral sagittal sections'],['anatomical landmarks of the hippocampal head. the regions of interest ( rois ) are marked in red ; the white represents the frontal lobe ; the left thalamus ; ( a and the left side of the cranial fossa']
"['transverse b - scan from the temporal approach ( probe placed on globe temporally and oriented vertically ), showing an annular peripheral choroidal effusion [ ring - shaped fluid accumulation between the choroid ( arrow ) and sclera ( * ) ].']","['ultrasound scan of the same eye as in figure 1 before treatment ( march 9, 2007 ) ; a choroidal mass 8. 8×7. 5 mm in basal dimensions and with maximal elevation of 1. 74 mm is apparent in the temporal aspect of the globe.']"
"['brain ct revealing bilateral subacute frontoparietal subdural hematomas, measuring 10mm on the left and 8mm on the right, with associated local sulcal effacement.']",['computed tomography scan showing a space - occupying lesion in the right parietal lobe.']
['t2 - weighted axial mri of the brain showing no obvious abnormality'],['brain mri shows diffuse leukoencephalopathy with pneumocephalus due to the large cerebral abscess.']
['mri brain t2w axial image showing hyperintense left parietal lesion.'],['mri of the brain showing a large left parietal lobe metastatic lesion.']
"['mri brain with flair axial cut, done 3 months after the initial mri showing resolution of the hyperintense signals seen at presentation']","['magnetic resonance imaging findings in the brain section of patient with hashimoto encephalopathy, showing bilateral symmetrically high signal intensity in both occipital lobes.']"
"['computed tomography imaging revealed hyperdense foci, corresponding to massive calcifications in the nuclei of the base of the brain, in the thymuses, as well as subcortical in the white matter of both frontal lobes']",['brain ct ( noncontrast ) showing bilateral basal ganglia calcification.']
"['reduction in dimensions of the cystic mass, parietal discontinuity ( arrow ) and voluminous ascites that was not identified at the previous study ( asterisks ) performed eight days ago.']",['transverse postcontrast ct image of the brain reveals marked heterogeneously enhancing parietal mass of 2 cm in the left frontoparietal region ( arrow ). the lesion extends to the left mastoid air cells and causes bone destruction of the left temporal bone']
['axial t1 - weighted cranial mr image shows hemorrhages in temporal lobe'],['t1 weighted magnetic resonance imaging showing high intensity signal in lt. thalamus as compared to figure 1']
['brain mri t1 - wi axial plane of a patient with ephedrone encephalopathy : symmetrical signal increase in globi pallidi.'],['initial brain mri t1 - wi axial plane of a patient with ephedrone encephalopathy : symmetrically high intensity signal in globi pallidi ( globus pallidus to frontal lobe white matter signal intensity ratio is ca. 152 % ).']
"['regions of interest for entropy and fa measurements : 1, csf ; 2, cortical gray matter ; 3, thalamus ; 4, putamen ; 5, caudate nucleus ; 6, corpus callosum ; and 7, frontal white matter.']","['representative axial t1 weighted images obtained for a patient with callosum and isolated growth hormone deficiency. ( a ), grey matter of the frontal lobe is indicated by the arrows. b = occipital horn of the lateral ventricle ; c = hippocampus ; d = cortical sulcal thinning ; e = subcortical ; g = subcortical white matter ; z = hippocampal cortex ; f = hippocampal ; pterygoid ; g = hippocampal = hippocampal digitiform nucleus.']"
['postoperative brain computed tomography scan 6 weeks after abscess drainage and antibiotic therapy confirms obvious shrinkage of cavities and exvacuum ventriculomegaly.'],['ct scan of the brain after irradiation']
['brain mri angiography. normal.'],['cta brain showing absence of collateral vessels by inferior side of tentorium.']
"['control brain mri 3d axial t1 with gadolinium 10 months after surgery and prolonged antibiotic treatment, shows complete regression of the cerebellar and cerebellopontine angle abscesses, leaving on the site a thickened meningeal scar.']",['postoperative magnetic resonance imaging demonstrating an expansile mass in the left cerebellopontine angle with minimal paracavernous extension.']
['absence of acute brain parenchymal lesion upon initial computed tomography of the brain.'],['computed tomography scan of the head without contrast showing small hypodensities involving the left temporal lobe.']
['noncontrasted ct brain showing bifrontal lestion with area of focal calcification'],"['axial non - contrast ct head taken on admission showing generalized cerebral atrophy, supratentorial hypodensity consistent with brain edema.']"
"['mri - t2 flair showing hyperintensity extending from posterior frontal, parietal causing mass effect compressing the midline and posterior corpus callosum.']",['infarct region compatible with large - size mca infarct in left parietal lobes.']
['mechanisms of recovery of injured fornical crus determined by diffusion tensor tractography. 1 : recovery through the neural tract from an injured fornical crus to the medial temporal lobe via the normal pathway of the fornical crus. mechanism 2 : recovery through the neural tract originating from an ipsi - lesional fornical body connected to the ipsi - lesional medial temporal lobe via the splenium of the corpus callosum. 3 : recovery through the neural tract from the ipsi - lesional fornical body extending to the contra - lesional medial temporal lobe via the splenium of the corpus callosum. mechanism 4 : recovery through the neural tract originating from the ipsi - lesional fornical column connected to the ipsi - lesional medial temporal lobe. 5 : recovery through the nerve tract originating from the contra - lesional fornical column connected to the ipsi - lesional medial temporal lobe via the contra - lesional medial temporal lobe and the splenium of the corpus callosum.'],"['this plan has been thresholded at the level of the basal ganglia and the thalamus. red : green, blue : green ; blue : left thalamus ; pink : green ), and left thalamus ; the left caudate nucleus ( yellow ).']"
['axial t2 large area of porencephaly in the left frontal and parietal lobes with compensatory dilatation of the lateral ventricle.'],"['coronal t1 post - contrast mr image showing the extensive, thickening of the left temporal lobe with diffuse cerebral edema.']"
['mri showing ischemic changes from brainstem to t4 thoracic segment'],['the sagittal t2 - weighted mri of the cervical spine shows atlantooccipital fusion with the arrow showing the disappearance of the syrinx and the brainstem edema']
"['axial t1 - weighted magnetic resonance image of the facial area showing an invasive tumor occupying the right infratemporal fossa and maxillary sinus with irregular boundaries, heterogeneous intermediary signal at t1 weight, with sphenoidal, ethmoidonasal, and nasopharyngeal extension']","['lateral projection of the skull in a patient with glioblastoma multiforme in the left temporal lobe. the t2 - weighted image shows the heterogeneously hypointense lesion extending into the left orbit, at the base of the temporal lobe, with eccentric enlargement.']"
